release_year,type,rating,listed_in1,listed_in2,listed_in3,country1,Cluster
2018,Movie,TV-MA,Comedies, Dramas, Romantic Movies,United States,1
2017,TV Show,TV-MA,Crime TV Shows, TV Action & Adventure, TV Dramas,United States,3
2020,TV Show,TV-MA,Crime TV Shows, TV Action & Adventure, TV Dramas,Mexico,3
2006,TV Show,TV-14,Anime Series, International TV Shows,0,Japan,3
2008,Movie,TV-PG,Action & Adventure, Anime Features, International Movies,Japan,0
2009,Movie,TV-PG,Action & Adventure, Anime Features, International Movies,Japan,0
2011,Movie,TV-14,Action & Adventure, Anime Features, International Movies,Japan,0
2007,Movie,TV-PG,Action & Adventure, Anime Features, International Movies,Japan,0
2010,Movie,TV-14,Action & Adventure, Anime Features, International Movies,Japan,0
2005,Movie,TV-PG,Action & Adventure, Anime Features, International Movies,Japan,0
2006,Movie,TV-PG,Action & Adventure, Anime Features, International Movies,Japan,0
2004,Movie,TV-PG,Action & Adventure, Anime Features, International Movies,Japan,0
2013,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,0
2020,Movie,TV-PG,Documentaries, International Movies, Music & Musicals,Uruguay,0
2018,Movie,TV-MA,Stand-Up Comedy,0,0,Chile,1
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2020,Movie,TV-MA,Comedies,0,0,United States,1
2019,Movie,TV-PG,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2016,Movie,TV-G,Documentaries,0,0,United States,1
2004,Movie,PG,Action & Adventure, Children & Family Movies,0,United States,1
2016,Movie,TV-14,Dramas, International Movies,0,India,0
2016,Movie,R,Comedies,0,0,United States,1
2015,Movie,R,Dramas, Independent Movies,0,United States,1
2018,TV Show,TV-PG,Docuseries, Science & Nature TV,0,United Kingdom,3
2016,TV Show,TV-G,Docuseries, Science & Nature TV,0,United States,3
2016,Movie,TV-G,Documentaries,0,0,United States,1
2009,TV Show,TV-PG,British TV Shows, Docuseries, Science & Nature TV,United States,3
2009,TV Show,TV-PG,British TV Shows, Docuseries, Science & Nature TV,United States,3
2016,TV Show,TV-PG,British TV Shows, Docuseries, Science & Nature TV,United Kingdom,3
2015,TV Show,TV-PG,British TV Shows, Docuseries, Science & Nature TV,United Kingdom,3
2013,Movie,TV-PG,Comedies, International Movies, Music & Musicals,India,0
2017,TV Show,TV-14,Crime TV Shows, TV Dramas, TV Mysteries,United States,3
2019,Movie,TV-14,Action & Adventure, Comedies, International Movies,China,0
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2016,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,0
2018,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,0
2018,TV Show,TV-MA,TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows,United States,3
1995,TV Show,TV-MA,Anime Series, International TV Shows,0,Japan,2
2016,Movie,R,Dramas, International Movies,0,Chile,0
2009,Movie,TV-14,Comedies, International Movies,0,Turkey,0
2016,TV Show,TV-MA,TV Comedies,0,0,United States,3
2020,TV Show,TV-14,TV Comedies, TV Dramas, Teen TV Shows,United States,3
2018,Movie,TV-PG,Dramas, Faith & Spirituality,0,United States,1
2018,TV Show,TV-14,Romantic TV Shows, TV Comedies,0,United States,3
2018,Movie,TV-14,Dramas, International Movies,0,Nigeria,0
2004,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2017,Movie,TV-MA,Dramas, Independent Movies, Romantic Movies,United States,1
2007,Movie,PG-13,Action & Adventure, Sci-Fi & Fantasy,0,United States,1
2018,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2018,Movie,TV-PG,Children & Family Movies, Comedies, Sci-Fi & Fantasy,China,0
2020,TV Show,TV-14,Reality TV,0,0,United States,3
2017,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,0
2018,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Puerto Rico,3
2018,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2018,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2013,Movie,R,Dramas, Independent Movies, Thrillers,United States,1
2018,Movie,TV-MA,Comedies, International Movies, Romantic Movies,Turkey,0
2020,TV Show,TV-PG,Docuseries, Science & Nature TV,0,United Kingdom,3
2020,Movie,TV-PG,Movies,0,0,United Kingdom,1
2014,Movie,R,Dramas, Independent Movies, Thrillers,United States,1
2018,TV Show,TV-MA,TV Horror, TV Mysteries, TV Sci-Fi & Fantasy,United States,3
2016,TV Show,TV-14,International TV Shows, Korean TV Shows, TV Dramas,South Korea,3
2008,Movie,PG-13,Dramas, Romantic Movies,0,United States,1
2019,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2016,Movie,TV-MA,Dramas, International Movies, Romantic Movies,India,0
2019,Movie,TV-MA,Dramas, International Movies,0,Nigeria,0
2009,Movie,R,Action & Adventure,0,0,Germany,1
1981,TV Show,TV-Y7,Anime Series, Kids' TV,0,Japan,2
1997,TV Show,TV-G,Kids' TV, TV Comedies,0,Canada,2
2019,Movie,TV-14,Action & Adventure, Anime Features, Children & Family Movies,Japan,0
2015,Movie,TV-14,Comedies, International Movies,0,Turkey,0
2018,Movie,TV-PG,Comedies, Dramas, International Movies,India,0
2005,Movie,TV-MA,Documentaries, Music & Musicals,0,United Kingdom,1
2005,Movie,TV-PG,Comedies, International Movies,0,India,0
2018,Movie,TV-MA,Comedies, Dramas, International Movies,Chile,0
2014,TV Show,TV-MA,Anime Series, International TV Shows,0,Japan,3
2017,Movie,TV-MA,Action & Adventure, Anime Features, Sci-Fi & Fantasy,Japan,0
2019,TV Show,TV-PG,Kids' TV, TV Comedies, TV Dramas,United States,3
1979,Movie,TV-14,Comedies, Dramas, International Movies,Egypt,2
2011,Movie,TV-MA,Dramas, International Movies,0,India,0
2017,Movie,TV-MA,Dramas, International Movies,0,Mexico,0
2011,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Philippines,0
2007,Movie,PG,Comedies, Romantic Movies,0,United States,1
2019,TV Show,TV-MA,International TV Shows, Reality TV, Spanish-Language TV Shows,Argentina,3
2016,TV Show,TV-PG,Romantic TV Shows, TV Comedies, TV Dramas,United States,3
2016,TV Show,R,International TV Shows, TV Dramas, TV Thrillers,Norway,3
2019,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2020,Movie,TV-MA,Dramas, Independent Movies, International Movies,Chile,0
2020,Movie,TV-MA,Horror Movies, International Movies,0,Poland,0
2019,TV Show,TV-MA,International TV Shows, TV Comedies, TV Dramas,Brazil,3
2016,Movie,R,Dramas, Thrillers,0,United States,1
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2020,Movie,TV-Y7,Children & Family Movies,0,0,United States,1
2019,Movie,TV-PG,Children & Family Movies,0,0,India,1
2019,Movie,TV-PG,Children & Family Movies, Comedies,0,United States,1
2016,Movie,TV-MA,Documentaries,0,0,United States,1
2020,TV Show,TV-MA,International TV Shows, TV Comedies,0,Norway,3
2004,TV Show,NR,British TV Shows, Romantic TV Shows, TV Dramas,United Kingdom,3
2019,TV Show,TV-14,TV Dramas,0,0,Canada,3
2020,Movie,TV-MA,Dramas, International Movies,0,Argentina,0
2016,Movie,TV-PG,Documentaries, Dramas, International Movies,United Kingdom,0
2018,Movie,TV-MA,Comedies, Dramas, International Movies,France,0
2018,Movie,PG,Dramas, Faith & Spirituality, International Movies,Brazil,0
2019,Movie,PG-13,Dramas, Faith & Spirituality, International Movies,Brazil,0
2017,Movie,TV-G,Children & Family Movies, Documentaries,0,United States,1
2018,Movie,TV-G,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2017,Movie,TV-G,Documentaries,0,0,United States,1
2018,Movie,TV-14,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2018,Movie,TV-PG,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2018,Movie,TV-G,Documentaries,0,0,United States,1
2017,Movie,TV-PG,Documentaries,0,0,United States,1
2012,Movie,TV-G,Movies,0,0,United States,1
2017,Movie,PG-13,Dramas, Thrillers,0,United States,1
1995,Movie,PG-13,Dramas,0,0,United States,2
2016,Movie,TV-MA,Documentaries, Music & Musicals,0,United States,1
2009,Movie,R,Dramas,0,0,United Kingdom,1
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Action & Adventure,Taiwan,3
2016,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Germany,3
2019,TV Show,TV-Y,Kids' TV,0,0,United Kingdom,3
2011,TV Show,TV-MA,Anime Series, Crime TV Shows,0,Japan,3
2015,TV Show,TV-MA,TV Comedies, TV Dramas,0,United States,3
2013,Movie,NR,Dramas, Independent Movies, International Movies,Denmark,0
2013,Movie,TV-MA,Dramas, Independent Movies, International Movies,Denmark,0
2016,Movie,TV-MA,Dramas, International Movies,0,Brazil,0
2016,Movie,R,Documentaries, International Movies, Music & Musicals,United Kingdom,0
2014,Movie,R,Comedies, Dramas, Independent Movies,United States,1
2009,Movie,G,Documentaries, International Movies,0,France,0
2018,Movie,R,Action & Adventure, Sci-Fi & Fantasy,0,Australia,1
2019,TV Show,TV-MA,International TV Shows, TV Dramas, TV Thrillers,Norway,3
1960,Movie,TV-PG,Action & Adventure, Classic Movies, Comedies,United States,2
2007,Movie,PG-13,Action & Adventure, Comedies,0,United States,1
2004,Movie,PG-13,Action & Adventure, Comedies,0,United States,1
2017,TV Show,TV-14,Crime TV Shows, International TV Shows, TV Dramas,Hong Kong,3
2020,TV Show,TV-MA,TV Action & Adventure, TV Dramas, TV Horror,United States,3
2015,TV Show,TV-Y,British TV Shows, Kids' TV,0,United States,3
2020,Movie,TV-Y,Children & Family Movies,0,0,United Kingdom,1
2020,Movie,TV-Y,Children & Family Movies,0,0,United Kingdom,1
2017,TV Show,TV-Y,Kids' TV, TV Comedies,0,United Kingdom,3
2018,Movie,TV-14,Comedies, International Movies,0,India,0
2015,TV Show,TV-MA,Stand-Up Comedy & Talk Shows,0,0,United States,3
2015,Movie,TV-MA,Comedies, International Movies,0,Spain,0
2020,Movie,TV-MA,International Movies, Thrillers,0,Spain,1
2011,TV Show,TV-14,International TV Shows, Romantic TV Shows, TV Comedies,Taiwan,3
2016,Movie,R,Action & Adventure,0,0,United States,1
2016,Movie,TV-MA,Action & Adventure, Comedies, International Movies,Germany,0
2017,TV Show,TV-MA,TV Comedies, TV Dramas,0,Australia,3
2017,TV Show,TV-Y7,Kids' TV, TV Comedies,0,France,3
1995,Movie,TV-14,Action & Adventure, Comedies, International Movies,India,2
2015,TV Show,TV-MA,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2011,Movie,TV-MA,Comedies, Horror Movies, International Movies,Thailand,0
2012,Movie,TV-MA,Comedies, Horror Movies, International Movies,Thailand,0
2012,Movie,TV-PG,Comedies, Dramas, International Movies,India,0
2014,TV Show,TV-Y7-FV,Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy,Canada,3
2020,TV Show,TV-G,Kids' TV, TV Comedies,0,Canada,3
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2019,Movie,TV-MA,Comedies, International Movies,0,Romania,0
2019,Movie,TV-14,Comedies, International Movies, Music & Musicals,India,0
2013,TV Show,TV-G,International TV Shows, TV Comedies,0,Nigeria,3
2017,Movie,TV-MA,Action & Adventure, Comedies, Dramas,South Korea,0
2018,Movie,PG,Anime Features, Children & Family Movies,0,Japan,1
2020,TV Show,TV-MA,International TV Shows, TV Dramas,0,Germany,3
2018,Movie,TV-14,Documentaries, International Movies,0,Brazil,0
2015,TV Show,TV-MA,International TV Shows, TV Comedies, TV Dramas,United States,3
2013,TV Show,TV-PG,Docuseries,0,0,United States,3
2018,TV Show,TV-Y,Kids' TV,0,0,France,3
2014,Movie,TV-MA,Dramas, Independent Movies, International Movies,Denmark,0
2013,Movie,R,Action & Adventure,0,0,United States,1
2007,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2009,Movie,TV-14,Comedies, International Movies,0,Egypt,0
2012,Movie,TV-MA,Comedies, International Movies, Romantic Movies,Egypt,0
2020,TV Show,TV-MA,International TV Shows, TV Dramas, TV Sci-Fi & Fantasy,Brazil,3
2017,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Hungary,0
2018,TV Show,TV-14,International TV Shows, TV Dramas, TV Mysteries,Taiwan,3
2020,TV Show,TV-14,Romantic TV Shows, TV Comedies, TV Dramas,United States,3
2018,Movie,TV-MA,Dramas, International Movies,0,Italy,0
2017,TV Show,TV-MA,International TV Shows, TV Dramas,0,Nigeria,3
1983,Movie,TV-14,Action & Adventure, International Movies,0,Hong Kong,2
2017,Movie,TV-14,Documentaries, Faith & Spirituality,0,Brazil,1
2016,Movie,TV-14,Dramas, International Movies,0,India,0
2010,Movie,TV-MA,Action & Adventure, Comedies, International Movies,Hong Kong,0
2018,Movie,TV-PG,Dramas, Independent Movies, International Movies,India,0
2018,Movie,TV-MA,Documentaries, Music & Musicals,0,United States,1
2018,Movie,TV-14,Documentaries, Music & Musicals,0,United States,1
2018,Movie,TV-PG,Documentaries, Music & Musicals,0,United States,1
2018,Movie,TV-MA,Documentaries, Music & Musicals,0,United States,1
2018,Movie,TV-MA,Documentaries, Music & Musicals,0,United States,1
2019,TV Show,TV-14,International TV Shows, Romantic TV Shows, TV Dramas,Egypt,3
2019,TV Show,TV-14,International TV Shows, TV Comedies, TV Sci-Fi & Fantasy,China,3
2019,Movie,TV-MA,Dramas, International Movies,0,United Kingdom,0
2010,Movie,NR,Dramas, International Movies, Music & Musicals,India,0
2013,Movie,TV-14,Dramas, International Movies, Music & Musicals,India,0
1968,Movie,PG-13,Action & Adventure, Classic Movies, International Movies,Italy,2
2001,Movie,TV-14,Action & Adventure, Comedies, Dramas,India,2
2014,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2016,Movie,TV-PG,Dramas, International Movies, Romantic Movies,Thailand,0
2019,TV Show,TV-PG,TV Comedies,0,0,United States,3
2020,Movie,TV-G,Dramas, International Movies,0,Indonesia,0
2019,Movie,TV-14,Dramas, International Movies,0,India,0
2013,Movie,PG,Documentaries, Music & Musicals,0,United States,1
2017,Movie,TV-G,Documentaries, International Movies, Music & Musicals,India,0
2016,Movie,TV-14,Documentaries, Sports Movies,0,United States,1
1998,Movie,TV-MA,Comedies,0,0,Canada,2
2018,Movie,TV-MA,Dramas,0,0,United States,1
2016,TV Show,TV-14,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2012,Movie,TV-14,Dramas, International Movies, Romantic Movies,Philippines,0
2016,Movie,TV-MA,Dramas, International Movies, Music & Musicals,India,0
2006,TV Show,TV-14,TV Comedies, Teen TV Shows,0,United States,3
2002,TV Show,TV-14,Anime Series,0,0,Japan,3
2019,TV Show,TV-14,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2018,TV Show,TV-PG,Docuseries, Science & Nature TV,0,United States,3
2020,Movie,TV-G,Documentaries, International Movies, Music & Musicals,Thailand,0
2015,TV Show,TV-14,Anime Series, Crime TV Shows, International TV Shows,Japan,3
2020,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Turkey,0
2019,Movie,TV-MA,Dramas, Independent Movies, Romantic Movies,United States,1
2013,Movie,R,Cult Movies, Independent Movies, Thrillers,Denmark,0
2018,Movie,TV-14,Thrillers,0,0,United States,1
2015,Movie,TV-MA,Documentaries, International Movies,0,Australia,0
2006,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2016,Movie,TV-MA,Comedies, Independent Movies, Music & Musicals,United States,1
2015,Movie,TV-MA,Action & Adventure, International Movies,0,Brazil,0
2020,Movie,TV-G,Children & Family Movies, Comedies, Romantic Movies,United States,1
2016,Movie,NR,Action & Adventure, Dramas, International Movies,South Korea,0
2016,TV Show,TV-14,British TV Shows, Reality TV,0,United Kingdom,3
2016,Movie,TV-MA,Action & Adventure, International Movies,0,China,0
2012,TV Show,TV-PG,British TV Shows, Kids' TV, TV Comedies,United Kingdom,3
2012,TV Show,TV-PG,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2018,Movie,TV-MA,Action & Adventure, International Movies,0,China,0
2016,Movie,TV-MA,Comedies, Dramas, Independent Movies,United States,1
1984,Movie,TV-MA,Action & Adventure, International Movies,0,Hong Kong,2
2019,Movie,TV-PG,Documentaries,0,0,United States,1
2019,TV Show,TV-MA,TV Comedies, TV Dramas,0,United States,3
2017,Movie,TV-14,Dramas, International Movies, Sci-Fi & Fantasy,Spain,0
2016,Movie,TV-MA,Dramas, Independent Movies, International Movies,Philippines,0
2016,Movie,TV-14,Comedies, Dramas,0,United States,1
2005,Movie,TV-14,Action & Adventure, Comedies, International Movies,Turkey,0
2017,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2019,TV Show,TV-MA,International TV Shows, TV Dramas, TV Mysteries,France,3
2016,Movie,TV-MA,Comedies, Dramas, Independent Movies,United States,1
2017,Movie,TV-MA,Dramas, Independent Movies, International Movies,Australia,0
2019,Movie,TV-MA,Dramas, International Movies, Thrillers,India,0
2014,Movie,TV-PG,Dramas, International Movies,0,India,0
2019,Movie,TV-MA,Documentaries, International Movies,0,United Kingdom,0
2018,Movie,PG-13,Horror Movies, Thrillers,0,Canada,1
2011,Movie,R,Comedies, Dramas, Independent Movies,United States,1
2016,Movie,TV-MA,Comedies, Dramas, International Movies,Spain,0
2019,TV Show,TV-PG,Docuseries, Science & Nature TV,0,United States,3
2019,Movie,TV-G,Documentaries,0,0,United Kingdom,1
2017,Movie,TV-PG,Comedies, Dramas, International Movies,China,0
2017,Movie,TV-14,Dramas, Romantic Movies,0,United States,1
2006,TV Show,TV-PG,Anime Series, Romantic TV Shows, Teen TV Shows,Japan,3
1991,Movie,TV-MA,Classic Movies, Dramas, International Movies,France,2
2020,TV Show,TV-MA,TV Action & Adventure, TV Dramas, Teen TV Shows,United States,3
2017,TV Show,TV-MA,Romantic TV Shows, TV Action & Adventure, TV Dramas,United States,3
2018,Movie,R,Action & Adventure, Dramas,0,United Kingdom,1
2018,Movie,TV-MA,Action & Adventure,0,0,United Kingdom,1
2018,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2020,TV Show,TV-MA,International TV Shows, Romantic TV Shows, TV Comedies,Germany,3
2020,Movie,PG,Children & Family Movies, Music & Musicals,0,China,1
2017,Movie,TV-MA,Comedies, International Movies,0,Turkey,0
2017,Movie,TV-MA,Action & Adventure, Comedies, International Movies,Thailand,0
2008,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2020,TV Show,TV-MA,Crime TV Shows, TV Dramas, TV Thrillers,United States,3
2006,Movie,TV-MA,Horror Movies, International Movies,0,United Kingdom,0
2015,Movie,TV-14,Comedies, Independent Movies, International Movies,India,0
2016,TV Show,TV-Y,Kids' TV, TV Comedies,0,United States,3
2007,Movie,PG-13,Dramas, Romantic Movies,0,United States,1
2010,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,0
2017,Movie,TV-14,Dramas, International Movies,0,India,0
2020,TV Show,TV-MA,International TV Shows, TV Dramas,0,India,3
2017,TV Show,TV-Y,British TV Shows, Kids' TV,0,United Kingdom,3
2012,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Colombia,3
2014,TV Show,TV-Y7,Kids' TV, TV Comedies,0,United States,3
2019,Movie,PG,Children & Family Movies,0,0,France,1
2016,TV Show,TV-14,Crime TV Shows, TV Comedies,0,Australia,3
2018,Movie,PG-13,Dramas, International Movies, Romantic Movies,India,0
2019,Movie,TV-MA,Comedies, Dramas, Independent Movies,United States,1
2013,Movie,TV-14,Horror Movies, International Movies,0,Philippines,0
2019,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2005,Movie,TV-PG,Dramas, International Movies, Romantic Movies,India,0
2018,Movie,TV-PG,Comedies, Dramas, International Movies,India,0
2007,Movie,TV-MA,Action & Adventure, International Movies,0,Thailand,0
2002,Movie,R,Action & Adventure, Dramas,0,United States,1
2016,Movie,R,Dramas,0,0,United States,1
1988,Movie,TV-PG,Dramas, International Movies,0,Hong Kong,2
2011,TV Show,TV-Y,Kids' TV,0,0,United States,3
2004,Movie,TV-MA,Dramas, International Movies,0,Argentina,0
2015,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Spain,0
2006,Movie,R,Dramas, International Movies, Sci-Fi & Fantasy,Mexico,0
2017,Movie,TV-MA,Action & Adventure, Dramas, International Movies,India,0
2016,Movie,TV-MA,Dramas, International Movies, Thrillers,South Korea,0
2002,Movie,R,Thrillers,0,0,United States,1
2019,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,0
2017,Movie,TV-MA,Documentaries, International Movies,0,Lebanon,0
2014,Movie,TV-G,Children & Family Movies, Comedies,0,Canada,1
2000,Movie,TV-PG,Comedies, Dramas, International Movies,India,2
2018,Movie,TV-MA,Dramas, Independent Movies, Romantic Movies,Canada,0
2018,TV Show,TV-MA,International TV Shows, Spanish-Language TV Shows, TV Comedies,Spain,3
2019,Movie,TV-MA,Action & Adventure, Dramas, International Movies,France,0
2018,Movie,TV-MA,Dramas, Independent Movies, International Movies,Brazil,0
2020,TV Show,TV-MA,TV Comedies,0,0,United States,3
2018,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2016,TV Show,TV-MA,British TV Shows, Crime TV Shows, International TV Shows,United Kingdom,3
2020,TV Show,TV-14,International TV Shows, TV Dramas, TV Horror,Egypt,3
2007,Movie,R,Horror Movies, Thrillers,0,United States,1
2018,Movie,TV-14,Horror Movies, International Movies, Thrillers,United States,0
2012,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2014,TV Show,TV-MA,Anime Series, International TV Shows, TV Horror,Japan,3
1997,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,2
2017,Movie,TV-PG,Dramas, Independent Movies, International Movies,India,0
2018,Movie,TV-14,Horror Movies, International Movies,0,Pakistan,0
2019,Movie,TV-MA,Dramas, Independent Movies, International Movies,France,0
2019,Movie,TV-MA,Stand-Up Comedy,0,0,South Korea,1
2015,TV Show,TV-14,TV Comedies,0,0,United States,3
2018,Movie,TV-PG,Dramas, International Movies,0,India,0
1989,Movie,TV-14,Comedies,0,0,United Kingdom,2
2018,Movie,TV-14,Comedies,0,0,United States,1
2003,TV Show,TV-14,International TV Shows, Romantic TV Shows, Spanish-Language TV Shows,Colombia,3
2018,Movie,TV-14,Action & Adventure, Dramas, International Movies,Malaysia,0
1992,Movie,R,Action & Adventure,0,0,United States,2
2011,Movie,TV-PG,Dramas, International Movies, Sports Movies,India,0
2019,Movie,TV-MA,Documentaries, International Movies,0,Mexico,0
2019,Movie,TV-PG,Comedies,0,0,United Kingdom,1
2020,TV Show,TV-MA,Stand-Up Comedy & Talk Shows, TV Comedies,0,United States,3
1992,Movie,R,Action & Adventure,0,0,United States,2
2014,Movie,TV-MA,Comedies, International Movies, Romantic Movies,Turkey,0
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2020,TV Show,TV-MA,Stand-Up Comedy & Talk Shows, TV Comedies,0,United States,3
2016,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2009,Movie,PG,Action & Adventure, Comedies,0,United States,1
2017,TV Show,TV-14,British TV Shows, Docuseries, International TV Shows,United Kingdom,3
2016,Movie,TV-14,Dramas, International Movies,0,India,0
2010,TV Show,TV-14,Reality TV,0,0,United States,3
2018,Movie,TV-MA,Comedies, Independent Movies, International Movies,Nigeria,0
2009,Movie,TV-14,Comedies, International Movies,0,India,0
2016,Movie,TV-14,Comedies, Dramas, Independent Movies,India,0
2019,TV Show,TV-MA,British TV Shows, Crime TV Shows, International TV Shows,United Kingdom,3
2018,TV Show,TV-14,International TV Shows, TV Dramas,0,Lebanon,3
2015,Movie,TV-MA,Documentaries, International Movies, Sports Movies,Germany,0
2013,Movie,TV-MA,Comedies, Horror Movies, International Movies,Thailand,0
2016,Movie,TV-PG,Children & Family Movies, Comedies, Cult Movies,United States,1
1990,TV Show,TV-PG,Classic & Cult TV, Kids' TV, TV Comedies,United States,2
1988,Movie,TV-PG,Movies,0,0,United States,2
2010,Movie,TV-MA,Comedies, Dramas, Independent Movies,India,0
2019,Movie,TV-MA,Comedies, Dramas, International Movies,China,0
2014,Movie,TV-MA,Comedies, International Movies,0,Turkey,0
2016,Movie,TV-MA,Dramas, International Movies,0,Malaysia,0
2019,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2018,Movie,TV-14,Comedies, Dramas, International Movies,Colombia,0
2006,Movie,PG,Children & Family Movies, Comedies, Romantic Movies,United Kingdom,0
2016,TV Show,TV-MA,TV Dramas, TV Horror, TV Mysteries,Ireland,3
2018,TV Show,TV-MA,British TV Shows, TV Comedies,0,United Kingdom,3
2016,Movie,TV-MA,Dramas, LGBTQ Movies,0,United States,1
2018,Movie,R,Action & Adventure,0,0,Hong Kong,1
2018,Movie,TV-MA,Dramas, International Movies, Thrillers,Argentina,0
2017,Movie,TV-MA,Documentaries,0,0,Canada,1
2007,Movie,R,Thrillers,0,0,United States,1
2018,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Germany,3
2016,TV Show,TV-14,Crime TV Shows, TV Action & Adventure, TV Dramas,United States,3
2019,TV Show,TV-MA,International TV Shows, Korean TV Shows, TV Dramas,South Korea,3
2016,Movie,R,Dramas, International Movies, Thrillers,France,0
2020,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2016,Movie,TV-MA,Documentaries,0,0,United States,1
2018,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2020,Movie,TV-Y7,Children & Family Movies, Comedies,0,Germany,1
2019,Movie,TV-14,Action & Adventure, Comedies, Dramas,India,0
2016,Movie,TV-G,Children & Family Movies, Comedies,0,Germany,1
2015,Movie,TV-14,Action & Adventure, International Movies,0,India,0
2015,Movie,PG,Action & Adventure, Dramas, International Movies,France,0
1993,Movie,PG-13,Classic Movies, Dramas, LGBTQ Movies,United States,2
2000,Movie,TV-14,Comedies, Dramas, International Movies,India,2
2006,Movie,TV-14,Comedies, International Movies,0,India,0
2015,Movie,TV-14,International Movies, Romantic Movies,0,India,0
2009,Movie,TV-MA,Horror Movies, International Movies,0,Thailand,0
2012,Movie,TV-14,Comedies, International Movies, Romantic Movies,Nigeria,0
2016,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2017,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2017,Movie,TV-MA,Dramas, Independent Movies, International Movies,Colombia,0
2020,Movie,R,Dramas,0,0,Canada,1
2018,Movie,R,Dramas, Independent Movies, Thrillers,United States,1
2018,Movie,TV-MA,Romantic Movies,0,0,United States,1
2018,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2017,Movie,TV-PG,Dramas, Independent Movies, International Movies,India,0
2018,TV Show,TV-MA,International TV Shows, TV Dramas,0,Australia,3
2008,Movie,R,Action & Adventure, Comedies,0,United States,1
2016,Movie,TV-14,Dramas, International Movies,0,India,0
2019,TV Show,TV-Y7,Kids' TV, TV Comedies,0,United States,3
2018,Movie,TV-MA,Dramas, Independent Movies, International Movies,Pakistan,0
2002,Movie,TV-MA,Dramas, International Movies, Music & Musicals,India,0
2014,Movie,TV-14,Horror Movies, International Movies, Thrillers,India,0
1998,Movie,TV-MA,Dramas, International Movies,0,Argentina,2
2018,TV Show,TV-Y,Kids' TV,0,0,France,3
2014,Movie,TV-14,Comedies, Dramas, International Movies,India,0
